<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.27	04:00:00	2299.03	2301.13	2296.81	2300.47	41504	1858105	17
2024.06.27	08:00:00	2300.48	2308.47	2296.48	2307.67	67642	2444570	10
2024.06.27	12:00:00	2307.67	2325.78	2307.35	2322.90	80300	3059410	10
2024.06.27	16:00:00	2322.86	2330.98	2319.43	2325.42	104439	4527870	10
2024.06.27	20:00:00	2325.42	2328.43	2322.48	2327.42	47975	2745405	10
2024.06.28	00:00:00	2327.73	2328.29	2321.43	2321.60	13689	2257990	17
2024.06.28	04:00:00	2321.60	2324.97	2319.02	2321.22	52999	2498670	17
2024.06.28	08:00:00	2321.25	2331.99	2320.99	2328.80	66161	2404630	10
2024.06.28	12:00:00	2328.79	2339.36	2327.24	2335.46	81530	3048140	10
2024.06.28	16:00:00	2335.44	2339.76	2322.84	2329.99	109276	4419990	10
2024.06.28	20:00:00	2329.98	2332.71	2322.76	2326.65	48401	2248620	0
2024.07.01	00:00:00	2326.50	2326.82	2322.15	2324.83	19978	2607650	17
2024.07.01	04:00:00	2324.82	2328.58	2321.38	2323.62	45291	2078780	17
2024.07.01	08:00:00	2323.65	2329.02	2318.51	2325.87	75885	2757500	10
2024.07.01	12:00:00	2325.87	2338.35	2325.47	2327.43	86017	3592935	10
2024.07.01	16:00:00	2327.43	2334.30	2319.26	2328.23	108649	4432850	10
2024.07.01	20:00:00	2328.23	2332.39	2326.74	2331.61	37900	1808585	10
2024.07.02	00:00:00	2331.73	2333.93	2331.37	2333.11	11738	1903720	17
2024.07.02	04:00:00	2333.10	2334.34	2324.89	2327.26	36172	1659070	15
2024.07.02	08:00:00	2327.29	2332.48	2323.30	2331.05	73101	2909480	10
2024.07.02	12:00:00	2331.03	2331.93	2319.10	2327.43	110947	4051560	10
2024.07.02	16:00:00	2327.43	2336.83	2320.97	2322.85	125973	4491775	10
